Date,Media,Title,Article,Summary
10 hours ago,The Morning Call,A year of COVID-19 headlines in Pennsylvania through Morning Call front pages,"Looking back at a year of Morning Call front pages during the COVID-19 pandemic. The first COVID-19 cases in Pennsylvania were announced March 6, 2020.","Looking back at a year of Morning Call front pages during the COVID-19 pandemic.
The first COVID-19 cases in Pennsylvania were announced March 6, 2020."
10 hours ago,Bristol Herald Courier,Region's COVID numbers improving slightly,"While area cases continue to diminish, COVID-19 remains in this region, with 73 deaths and more than 700 new cases reported in the past week.

Ballad Health was treating 70 COVID-positive inpatients at its hospitals Friday, including 15 in intensive care units and eight on ventilators. The total number of patients is down slightly compared to previous days, but Ballad has treated an average of 75 patients per day during the past week — slightly less than the 79-patient average reported last Friday.

Prior to Friday, new COVID admissions were running at twice the rate of discharges during the past week. On Friday, there were 11 discharges and six admissions.

Additionally, after a week where the region’s seven-day testing positivity rate was around 9%, it climbed back to 10.5% Friday. Tennessee’s average was 5.2%, according to the state board of health, while Virginia’s is 6.3%. The goal is less than 5% to limit community spread.

Much of the volume is occurring in Sullivan County, which reported an 11.8% positivity average and added an average of 32 new cases per day over the past 14 days — by far the most in the region. Sullivan reported 171 new cases during the past seven days, an average of 24.4 cases per day, with over 300 active cases.

Support Local Journalism Your subscription makes our reporting possible. {{featured_button_text}}","While area cases continue to diminish, COVID-19 remains in this region, with 73 deaths and more than 700 new cases reported in the past week.
The total number of patients is down slightly compared to previous days, but Ballad has treated an average of 75 patients per day during the past week — slightly less than the 79-patient average reported last Friday.
Prior to Friday, new COVID admissions were running at twice the rate of discharges during the past week.
Additionally, after a week where the region’s seven-day testing positivity rate was around 9%, it climbed back to 10.5% Friday.
Sullivan reported 171 new cases during the past seven days, an average of 24.4 cases per day, with over 300 active cases."
10 hours ago,,AP Top Headlines at 4:01 a.m. EST,,
10 hours ago,,AP Top Headlines at 3:20 a.m. EST,,
10 hours ago,,AP Top Headlines at 3:17 a.m. EST,,
13 hours ago,NYFights,Busiest Boxer in America Shinard Bunch Headlines Tonight On FIGHTNIGHT LIVE Card,"He’s been just about the busiest boxer in the game during the pandemic period, and I don’t know of any pros that aren’t record builders for other guys who’ve had more fights in such a short span of time that Shinard Bunch has.

The welterweight who reps Trenton, NJ headlines tonight on an RDR card in Feasterville, PA, which you can watch on Fightnight Live, debuted a pro on April 27, 2019. He fought seven times in ’19, going 6-1, dropping a six rounder to Paul Kroll. Bunch, now 21 years old, fought “just” five times in 2020, because COVID gummed up the works for everybody. So far in 2021, Bunch has gloved up three times, and he’s bested Dieumerci Nzau, Charlie Dubray and then, on Feb. 12, 14-28-3 Ariel Vasquez in Florida.

The young man goes where the fights are breaking out, so it’s back up East for the Saturday night main event, that you can watch on the streaming platform FloSports, which requires a moderate subscription fee. Fightnight Live is pleased to establish a connection to FloSports, a subscription sports broadcaster and streaming service, born in 2006, based in Austin, Texas.

I chatted with a chill Bunch, because he’d enjoyed his post weigh in chodown, on a pile of shrimp Alfredo.

Bunch (left) seems to be a guy on a run, with momentum, working in a very structured and contained frenzy. Trainer Chino Rivas, he tells me, is pretty much a godsend, because he so appreciates the amount of knowledge that he’s soaked up.

“This is our third fight or so, and man, I feel like everything’s improved, my speed, my power, the way I move, the way I think in the ring, the adjustments I makein there,” he stated.

“Not only physically, but mentally, too.”

That process, the sponging up of knowledge, he said, started on day one when he started with with Rivas.

The last two victims got stopped out in round one, but Shinard Bunch doesn’t sound like he’s gotten enamored with the quick dopamine hit that comes from the KO1 win.

“We don’t ever go in to make a quick hit, we just look for openings,” he said.

“And we don’t take anybody lightly. These opponents are in the ring for reason.”

Check out some Bunch, here he is taking care of things in his tenth pro fight:

Compare his progress, to how Shinard Bunch looked in his fourth pro tango, against Kevin Womack Jr. That face-off screened on Fightnight Live, on Oct. 4, 2019.

His Feasterville dancing partner in Feasterville, Krael, enters with a 17-17-3 record.

I can almost guarantee that with that record, he deserves to be better than .500. Krael gets invited to the party to put up a solid test, but he’s not being pushed as an A sider with a high ceiling. The 27 year old who was born in Hawaii, and has made Vegas his residence, last gloved up on Oct. 9, 2020. Top tier prospect Elvis Rodriguez stopped him out in round three of their scheduled eight.

“I’ve watched like four of his fights,” Bunch said. “He’s definitely a worthy opponent. He’s been known to last, throws a lot of punches, he can move. And will I be thinking of how other guys, like Rodriguez, beat him? No, definitely not, we will fight our fight. I’m not going in to impress anybody.”

Krael can expect a strong and confident foe, who is aggressive, who is going to stalk him, very patiently. He’ll need to be wary of both hands, Bunch has above average power. Punches might come at him straight, sweeping from the side, from underneath, or over the top, in a span of 10 seconds. Right hands to the body will probably score on Krael a good bit, and Krael shouldn’t expect that Bunch will get flustered.

Some back story; Shinard Bunch was raised by his mom, in Brooklyn, East NY. He picked up boxing young, after watching a Muhammad Ali DVD his mom bought, and worked with Zab Judah’s dad, Yoel Judah. His family moved to Trenton, NJ, when he was 13, and he found a gym outlet in Jersey, and got back to grind. Props to him, Trenton features plenty of lures to help take you off a righteous path.

Get this–he had 406 amateur fights. And did he ever just get bored of that, I wondered? “Did I get sick of it? Plenty of times! But never as a pro. As an amateur I’d be fighting every week, sometimes two times a day! But then I’d come back to it…it’s something I really wanted to do, because I knew boxing would leave me far some day. Where? The promised land! The ultimate goal is a world championship, and the only thing also I’m looking forward to is making sure my family is alright.”

Bunch has three kids of his own, and a step-daughter he’s folded in, as well as five sisters and two brothers.

Fortunately, COVID hasn’t clamped down on Shinard Bunch, he shared. It didn’t take too long, 8 weeks or so, before he started seeing bad numbers in his region. “So I’ve been staying away from people, taking a lot of precautions, in the gym, wiping everything down,” he said, talking about that Lysol life. “At first I didn’t take it very seriously, but then I started seeing the numbers of dead. I knew it was not something to be playing with.” Pretty impressive, this guy hasn’t been afraid to keep grinding, working and traveling some to get fights, but he’s been on message with his hygiene and distancing, and stayed virus free.

“It’s still early in the year, I’d probably like to fight 7-8 more times this year,” Bunch said. He does a fight, then studies what he did right, and wrong, and looks to improve with each outing.

The young man simply sounds like he has his head screwed on just-right-tight. I expect he continues the momo and elongates Krael’s bad run.

_______________________________________________________________________________________

Shinard Bunch 140 1/2 – Cameron Krael 141 1/4 Rashiem Jefferson Jr. 130 – Darel Harris 130 Nahir Albright 136 3/4 – William Parra Smith 133 3/4 Edgar Joe Cortes 117 1/2 – Michael Stoute 117.3 Nasir Mickens 129 3/4 – Nathan Benichou 129 1/2

Promoter: RDR Promotions

1st Bell: 7:30 PM

Stream: Flo Combat

The Sportsplex is located at 1331 O’Reilly Drive in Feasterville-Trevose, PA. Tickets are $150 for Front Row; $100 for Ringside and $75 for General Admission and can be purchased from the fighters or emailing rricerivew@yahoo.com

_______________________________________________________________________________________

“In a year, we maybe get a title, USBA or something, get to No. 15, and after that start raising the stakes, start looking at bigger fights,” Shinard Bunch said, in closing. “We’ll move slow…well, some might not call it slow, but for me, it’s a good pace, it’s something I love to do. Down the line, anybody in my class or level, Terence Crawford, Gervonta Davis, Teofimo, Devin Haney…I keep working, stay focused, the sky’s the limit.”","The last two victims got stopped out in round one, but Shinard Bunch doesn’t sound like he’s gotten enamored with the quick dopamine hit that comes from the KO1 win.
“I’ve watched like four of his fights,” Bunch said.
Some back story; Shinard Bunch was raised by his mom, in Brooklyn, East NY.
Fortunately, COVID hasn’t clamped down on Shinard Bunch, he shared.
15, and after that start raising the stakes, start looking at bigger fights,” Shinard Bunch said, in closing."
14 hours ago,KMOV.com,Steelville man federally charged for child pornography,"WEBSTER GROVES, Mo. (AP/KMOV.com) -- A child pornography investigation at a local behavioral health agency is now in the hands of federal prosecutors.

Nicholas Hodges, of Steelville, is charged with receiving child pornography. The 25-year-old was employed by the Webster Groves-based Great Circle but worked at the organization's ranch in Steelville.

According to court documents, Hodges received several videos and photos showing girls and boys under the age of 18. The files he received showed sexual acts and videos focusing on the minors' private parts.

Great Circle is Missouri's largest provider of residential treatment for children with developmental delays or behavioral challenges. It has 13 residential facilities.

Officials announced they will close its residential program at the Webster Groves location this month.

The announcement came after federal agents raided the facility and four employees were previously arrested on abuse allegations.

According to charging documents from Webster Groves Police Department, Andrew Wright, 27, Amara Jorden, 23, Wayne Anthony Roberts Jr., 25, and Dwayne Jennings, 22, are charged with abuse of healthcare recipient. Jorden is charged with two counts of abuse of a healthcare recipient after she abused a ""40 pound, nonverbal autistic child on multiple occasions"", police said.","WEBSTER GROVES, Mo.
(AP/KMOV.com) -- A child pornography investigation at a local behavioral health agency is now in the hands of federal prosecutors.
Nicholas Hodges, of Steelville, is charged with receiving child pornography.
Officials announced they will close its residential program at the Webster Groves location this month.
Jorden is charged with two counts of abuse of a healthcare recipient after she abused a ""40 pound, nonverbal autistic child on multiple occasions"", police said."
14 hours ago,Telegraph.co.uk,Saturday morning UK news briefing: Today's top headlines from The Telegraph,"Welcome to your early-morning news briefing from The Telegraph - a round-up of the top stories we are covering on Saturday. To receive twice-daily briefings by email, sign up to our Front Page newsletter for free.

1. Travel permits to stop Easter holidays abroad

People seeking to leave Britain from Monday will have to show a new permit proving they are travelling for essential reasons in a move to stop Easter holidays.

The crackdown ­– enforced by on-the-spot fines and the threat of criminal action – came as holiday destinations including Cyprus, Seychelles, Greece and the Spanish islands rushed to open to vaccinated Britons. Read the full story

2. Charity Commission reviewing Harry and Meghan's Sussex Royal organisation

The Charity Commission is conducting a review of the Duke and Duchess of Sussex's philanthropic organisation, The Telegraph can disclose.

Well-placed sources have told The Telegraph the watchdog is examining how Sussex Royal was run and whether it complied with charity law. Read the full story

3. The inside story of the rift between Harry and Meghan and The Firm

There was something distinctly familiar about the Oprah Winfrey teaser in which Prince Harry declared: ""My biggest concern was history repeating itself.""

The words, due to be aired during the Duke and Duchess of Sussexes' tell-all interview on Sunday night, bore an uncanny resemblance to the statement released by Harry's communications secretary, Jason Knauf, in November 2016 after the Sunday Express had revealed that the Prince was dating the American actress. Read the full story

4. Death rate back to normal as Covid infections fall by third in a week

Coronavirus infections have fallen by one third in a week, data from the Office of National Statistics (ONS) show, as Public Health England (PHE) surveillance confirmed death rates were back to normal.

Experts continued to call for an earlier relaxation of restrictions, although sources close to the Government insisted that a five-week gap between each stage was crucial to check cases were not rising, suggesting the release dates would not be moved. Read the full story

5. NHS pay backlash threatens to overshadow Sunak's Budget

Things could not have looked much rosier for Rishi Sunak on Thursday evening. A little over 24 hours after announcing his ""spend now, tax later"" Budget, the Chancellor was facing barely any backlash.

His policies would push the UK tax burden to its highest level in half a century, yet the rebellion which Tory MPs were threatening beforehand had turned to dust. Read the full story

Stay up-to-date with breaking news and the latest politics from The Telegraph throughout the day.","Welcome to your early-morning news briefing from The Telegraph - a round-up of the top stories we are covering on Saturday.
Charity Commission reviewing Harry and Meghan's Sussex Royal organisationThe Charity Commission is conducting a review of the Duke and Duchess of Sussex's philanthropic organisation, The Telegraph can disclose.
Well-placed sources have told The Telegraph the watchdog is examining how Sussex Royal was run and whether it complied with charity law.
The inside story of the rift between Harry and Meghan and The FirmThere was something distinctly familiar about the Oprah Winfrey teaser in which Prince Harry declared: ""My biggest concern was history repeating itself.""
Read the full storyStay up-to-date with breaking news and the latest politics from The Telegraph throughout the day."
15 hours ago,mlive.com,"Muskegon-area basketball: OT thrillers and 1,000-point scorer make headlines","MUSKEGON – A couple of overtime thrillers and a 1,000-point scorer highlighted Muskegon-area high school basketball action Friday night.

Here are details from the action March 5:

Newaygo’s Jaylee Long reaches 1,000-point milestone

Jaylee Long reached 1,000 points for her career in leading Newaygo to a 54-40 victory over visiting Grant.

The senior point guard, who has signed with Cornerstone University, paced the Lions (10-1) with 18 points, six rebounds and three assists. She’s now sitting at 1,001 points.

“Not only is she a great basketball player, but she is a tremendous leader,” Newaygo coach Nate Thomasma said about Long. “I couldn’t be more proud of her. She definitely earned this achievement along with the many great teammates she has played with.”

Long’s sister, Jaxi, scored 11 points for Newaygo. Emmerson Goodin with 10 points and eight points for the Lions, who remain alone atop the Central State Activities Association Gold Division standings with a 9-0 record.

Grant slips to 3-9 overall and 3-7 in the CSAA Gold.

Congratulations to Jaylee on 1,000 points! Well deserved! pic.twitter.com/u2jSxdiOYn — Nate Thomasma (@thomasmanate) March 6, 2021

RELATED: How to become a 1,000-point scorer in high school basketball

Holton boys win thriller, move closer to CSAA Silver title

For the second time this season, Holton’s boys basketball team topped Kent City in a four-point Central State Activities Association Silver Division thriller. This time, it took two overtimes.

Holton moved one step closer to a conference title with a 44-40 victory over visiting Kent City Friday night. The Red Devils (10-2, 7-0 CSAA Silver) defeated Kent City (5-5, 4-3) on Feb. 19 at Kent City, 42-38.

Holton holds a one-game lead over Morley Stanwood in the league standings. The Red Devils, who beat the Mohawks 49-37 in the season opener, visit Morley Stanwood in the regular-season finale March 19.

“It was an incredible back-and-forth game between these two rivals. Aidan Poling of Holton and Kyler Larson of Kent City made multiple huge shots down the stretch of this one,” Holton coach Keith Swanson said. “In the end, it came down to a couple clutch free throws by Holton’s Brodrick Fialek and a couple huge steals by Holton’s Carter Brant, which helped create the final margin.”

Poling scored a game-high 23 points for Holton, plus he had four steals. Fialek had eight points, while Wyatt Monette added six points and 10 rebounds.

Larson led Kent City with 17 points.

“I’m so proud of our players. Those guys have so much fight in them, it’s incredible to watch time after time,” Swanson said. “I’m just lucky to have them. An amazing group.”

KC 40

Holton 44

Double overtime



So proud of my guys for battling thru adversity. Missing two starters and guys stepped up. @FOX17Zach @13OYSL @WOODTV @westsidereport1 @ScottDeCamp — David Ingles (@coach_ingles) March 6, 2021

Montague girls beat Ludington in OT, stay undefeated

Montague’s girls basketball team remained unbeaten by gutting out a 49-45 overtime victory over host Ludington in a big nonleague matchup Friday night.

The game was tied at 42 after regulation, and the Wildcats (9-0) made plays in OT to seal the win.

Ally Hall led Montague with 18 points and 12 rebounds, while Claire Meacham provided 11 points and seven rebounds. Emma Flynn scored 10 points for the Wildcats, while Braquelle Osborne had six.

No stats were submitted for Ludington, which is now 9-2.

BOYS

Western Michigan Christian 58, Whitehall 46

WMC leaders: Owen Varnado 14 points, 7 rebounds; Micah Terhaar 13 points; Isaac Parker 12 points

Whitehall leaders: No stats submitted

Records: Western Michigan Christian 8-3; Whitehall 8-3

West Ottawa 57, Grand Haven 46

West Ottawa leaders: Blake Bosma 13 points; Colin Shriver 12 points; Kobe Haglund 12 points; Kegan Garcia 12 points

Grand Haven leader: Nic Stump 9 points

Records: West Ottawa 8-2 (7-2 OK Red); Grand Haven 6-3 (6-3)

Coopersville 70, Spring Lake 44

Coopersville leaders: No stats submitted

Spring Lake leaders: Sam Sheridan 11 points; Porter Saunders 11 points; Kaden George 10 points

Records: Coopersville 8-3 (6-3 OK Blue); Spring Lake 2-6 (2-6)

Holland Christian 60, Fruitport 34

Holland Christian leaders: No stats submitted

Fruitport leaders: Bode Anspach 13 points; Carter Golden 11 points

Records: Holland Christian 5-5 (5-3 OK Blue); Fruitport 0-10 (0-9)

North Muskegon 61, Shelby 54

North Muskegon leaders: Brennen McManus 27 points; Troy McManus 11 points; Reilly Schotts 6 points, 5 rebounds; Denny Belmonte 5 rebounds, 4 assists

Shelby leaders: Logan Claeys 22 points; Joseph Hayes 20 points

Records: North Muskegon 4-4 (4-3 WMC); Shelby 3-7 (3-5)

Muskegon Catholic Central 45, Byron Center Zion Christian 42

MCC leaders: Dane Rutz 11 points, 6 rebounds, 5 steals; Tommy Kartes 10 points, 7 rebounds, 3 assists; Jaden Johnson 10 points, 8 rebounds, 2 blocks

Zion Christian leaders: Jake Hem 11 points, three 3-pointers; Graham Veldhof 9 points

Records: MCC 3-6; Zion Christian 3-6

Fremont 80, Howard City Tri County 49

Fremont leaders: Braiden McDonald 32 points, 8 rebounds, 5 assists, 5 steals; Martin Curiel 11 points; Payton Mansfield 8 points, 7 rebounds; Lane Converse 6 points; Joey DeLong 5 points, 6 steals; Joshua Zerfas 11 assists, 5 rebounds

Tri County leaders: No stats submitted

Records: Fremont 10-2 (9-1 CSAA Gold); Tri County 5-5 (4-5)

Newaygo 62, Grant 46

Newaygo leaders: Ashton Stephns 17 points; Wyatt Mortensen 14 points; Gabriel Schillman 13 points; Josiah Long 10 points

Grant leader: Cole Lesley 9 points

Records: Newaygo 4-6 (4-5 CSAA Gold); Grant 5-7 (5-5)

Ludington 66, Benzie Central 34

Ludington leaders: Peyton LaCombe 19 points, 10 rebounds; David Shillinger 13 points, 7 assists; Kyle Barnett 9 points, 4 steals

Benzie Central leader: Nate Childers 14 points

Records: Ludington 6-4; Benzie Central 7-5

GIRLS

Western Michigan Christian 71, Wyoming Tri-unity Christian 20

WMC leaders: Taylor Folkema 28 points, 6 rebounds, 4 steals, 4 blocks; Kyla Wiersema 18 points, 8 rebounds; Maddie Wiersema 11 points, 6 rebounds; Kelcea Waller 7 points; Haley Breuker 4 assists, 4 steals

Tri-unity leaders: No stats submitted

Records: Western Michigan Christian 10-1; Tri-unity Christian 2-6

Spring Lake 49, Coopersville 17

Spring Lake leaders: Jennifer Judge 20 points, 10 rebounds, 5 steals; Meah Bajt 11 points, 7 rebounds, 5 steals

Coopersville leaders: No stats submitted

Records: Spring Lake 4-4 (4-4 OK Blue); Coopersville 1-9 (1-8)

Shelby 44, Whitehall 41

Shelby leaders: Kendall Zoulek 13 points, 5 rebounds, 3 steals; Lexi Schultz 9 points, 8 rebounds, 8 assists; Lauren Dean 8 points; Lauren Brown 8 points

Whitehall leaders: Greta Hosticka 13 points, 5 steals; Karleigh Jeffries 10 points, 6 rebounds

Records: Shelby 5-6 (4-5 WMC); Whitehall 6-5 (5-4)

Howard City Tri County 49, Fremont 34

Tri County leaders: Ashley Bialek 19 points; Alicia Bowen 12 points; Mary Siple 12 points

Fremont leaders: Calla Miller 11 points; Haley Zerlaut 9 points; Kaitlynn Bennett 10 rebounds

Records: Tri County 5-4 (5-4 CSAA Gold); Fremont 3-8 (3-7)

Morley Stanwood 44, Hesperia 28

Morley Stanwood leaders: No stats submitted

Hesperia leaders: Emily Bayle 13 points, 6 steals; Emmi Tinkham 9 points, 7 rebounds, 2 assists

Records: Morley Stanwood 8-3 (6-1 CSAA Silver); Hesperia 3-5 (1-5)

Manistee 46, Holton 31

Manistee leaders: No stats submitted

Holton leaders: Ryann Robins 15 points; Madi Bosset 7 points

Records: Manistee 3-7; Holton 4-7

More coverage:

Ignore the scoreboard for now: Return to athletics is a victory for Muskegon Heights","MUSKEGON – A couple of overtime thrillers and a 1,000-point scorer highlighted Muskegon-area high school basketball action Friday night.
The senior point guard, who has signed with Cornerstone University, paced the Lions (10-1) with 18 points, six rebounds and three assists.
“Not only is she a great basketball player, but she is a tremendous leader,” Newaygo coach Nate Thomasma said about Long.
She definitely earned this achievement along with the many great teammates she has played with.”Long’s sister, Jaxi, scored 11 points for Newaygo.
Ally Hall led Montague with 18 points and 12 rebounds, while Claire Meacham provided 11 points and seven rebounds."
15 hours ago,Total Slovenia News,"Morning Headlines for Slovenia: Saturday, 6 March 2021","Check the date at the top of the page, and you can find all the ""morning headlines"" stories here. You can also follow us on Facebook and get all the news in your feed.

This summary is provided by the STA:

Pahor announces donation of Covid-19 vaccine to Bosnia

SARAJEVO, Bosnia-Herzegovina - President Borut Pahor announced a donation of 4,800 Covid-19 vaccine shots to be delivered to the country next week, as he visited Sarajevo. Chairman of the Bosnian presidency Milorad Dodik said the friendly Slovenia had again showed its solidarity with and support to Bosnia-Herzegovina. Talks with Dodik and the two other members of the presidency, Željko Komšić and Šefik Džaferović, focused the country's efforts to join the EU, preparations for the Brdo-Brijuni Process summit to be held in Slovenia in a few weeks, illegal migration and Slovenia's military presence in Bosnia-Herzegovina, the president's office said.

881 new coronavirus cases, four deaths in Slovenia on Thursday

LJUBLJANA - The daily count of coronavirus cases stood at 881 on Thursday, when 5,435 PCR tests were performed for a positivity rate of 16.2%, a further drop compared to the day before. The number of people in hospitals today increased by ten to 521 with 85 in intensive care, government data show. Four patients died bringing the death toll to 3,878. The seven-day average of new cases in Slovenia was down from 784 to 780. According to the tracker site Covid-19 Sledilnik, there are currently about 10,866 active cases in the country.

NIJZ data show one in three positive rapid tests false

LJUBLJANA - Data from the National Institute of Public Health (NIJZ) obtained by Radio Slovenija and the web portal Necenzurirano show that one out of three positive rapid antigen tests have been proved false through the more reliable PCR tests after 13 February, since when all those who test positive for coronavirus in screening with rapid tests are tested again with PCR tests. The infections are not added to the official case count until confirmed with a PCR lab test.

Italian minority urges govt to reconsider border restrictions

KOPER - The Italian Union, an association of the Italian ethnic minority in Slovenia urged the government to reconsider imposing new border restrictions in a bid to prevent the import of new coronavirus variants, warning of the impact the step would have on cross-border cooperation. In a letter to Prime Minister Janez Janša, the association noted the close cooperation in the closely interlinked border region and proposed the government adopt alternative measures or allow exceptions to restrictions for the population living along the Slovenian-Italian border.

Pope appoints Maksimilijan Matjaž new Celje bishop

LJUBLJANA/CELJE - Pope Francis has appointed priest of the Maribor Archdiocese Maksimilijan Matjaž as the new Celje bishop, according to the websites of the Catholic Church. He will succeed Stanislav Lipovšek, who stepped down in 2018 after turning 75. Matjaž has so far been a professor of Biblical studies at the Ljubljana Faculty of Theology.

Italy formally against Slovenian new regulation on vinegar

ROME, Italy - The Italian Agriculture Ministry has addressed a letter to the European Commission opposing Slovenia's draft regulation on the quality of vinegar and acetic acid dilute, which also defines balsamic vinegar. The countries have until 3 June to provide any additional explanations, foreign press agencies reported. The Slovenian regulation has sparked strong protests in Italy as the proposal sets down that any vinegar mixture with concentrated fruit juice or must could be labelled balsamic vinegar.

State's exposure in loan deferral scheme at EUR 2.6 billion

LJUBLJANA - Banks and savings banks in Slovenia received until the end of February a total of 28,485 applications under the government's scheme that enables loan takers to request a deferral of loan payments. More than 85% of the applications have been approved, with the total exposure related to these loans amounting to EUR 2.6 billion. The central bank reported that more than 85% of the applications had been approved, and around 12% rejected, with the remaining applications still being processed. A majority of the loans related to the applications are due in the coming months, and it is when an increase in credit risk is expected to increase the most.

Insurer group Sava ups net profit 12.3% to EUR 56.4m last year

LJUBLJANA - The insurance group Sava generated EUR 674.9 million in operating revenue last year, up 15.5% compared to 2019, while net profit increased by 12.3% to EUR 56.4 million, which was also above plans, show the unaudited results. The group said that the increase was driven by good results in the life and non-life insurance segments, partly offset by the challenging claims experience in international reinsurance business. EUR 679.7 million was collected in gross insurance premiums, an increase of 13.6% over the year before. The group's return on equity was 13.3%, which is 1.3 percentage points above the target return set in the strategy for 2020-2022.

SKB Banka's profit down last year by 35.6% to below EUR 35m

LJUBLJANA - SKB Banka posted a net profit of EUR 34.85 million last year, which is a 35.6% drop compared to 2019, in what is largely a consequence of the Covid-19 epidemic that affected all areas of operation of the banking group. Reporting on the results for the first full year in ownership of the Hungarian banking group OTP, the Ljubljana-based bank said that the group had created additional provisions and impairments due to the increased credit risk. Net banking revenue was down last year by 1.3% to EUR 122.68 million, while the operational profit before provisions and impairments decreased by 2% to EUR 60.46 million.

Report: Marina Portorož sold to Japanese buyer

PORTOROŽ - Spa operator Terme Čatež confirmed that it had sold Marina Portorož but would not disclose the buyer. It also said the contract contained suspensive conditions. Newspapers Delo and Primorske Novice reported of the sale earlier today, saying the buyer came from Japan. Delo reported the buyers were Japanese investments funds and the price was below EUR 15 million, while Primorske reported of a Japanese multinational buying the country's biggest marina for EUR 16 million. Meanwhile, the business newspaper Finance says on its website, quoting unofficial information, that the buyer is Slovenian company JoanthanMars or one of its subsidiaries that manages alternative investment funds.

Mercator expected to become part of Fortenova by month's end

BELGRADE, Serbia - Serbia's competition protection authority cleared the transfer of Slovenian retailer Mercator to Croatian group Fortenova, thus clearing yet another hurdle for the step that follows the bankruptcy of Fortenova's predecessor Agrokor. Fortenova expects the transfer to be completed at the end of the month. Fortenova said in a press release that the approval by the Serbian regulator means the group has met all regulatory preconditions for concentration approval in the countries where this was required: Serbia, Bosnia-Herzegovina, Montenegro and North Macedonia. In September, the European Commission also issued a concentration approval for the EU.

Some insurers allowed to pay out dividends

LJUBLJANA - The Insurance Supervision Agency sent a letter to insurers, reinsurers and pension funds, urging them not to pay out dividends until the end of September due to coronavirus-related uncertainties, insurer Zavarovalnica Triglav said. However, the paying out of dividend is allowed in some cases, as the financial stability of the companies overseen by the agency varies and not all of them were affected by the epidemic to the same extent. The companies which will act contrary to the recommendations will have to prove to the agency that they acted prudently. Their solvency coefficient must be kept above 150% and the paying out of dividends must not reduce the sources of own funds by more than 10% or hurt the company's liquidity.

Monitoring group MEPs voice concerns in debate on media freedom in Slovenia

LJUBLJANA - The European Parliament's Democracy, Rule of Law and Fundamental Rights Monitoring Group held a virtual public discussion on media freedom in Slovenia featuring representatives from Slovenia and the European Commission. Group members expressed concern about the situation and their expectations for the Commission to take action. Although invited, Prime Minister Janez Janša and Culture Minister Vasko Simoniti did not take part in the exchange of views. A new meeting might be held on 26 March.

Diverging views as Slovenian MEPs debate state of the media

LJUBLJANA - The situation in the media topped the agenda as Slovenian MEPs talked to reporters ahead of next week's European Parliament plenary, which will debate attempts to silence free media in Poland, Hungary and Slovenia. They provided diverging views on the situation and on whether this is indeed an issue that the EU should deal with. Milan Zver (EPP/SDS) said freedom of the media was not questionable in Slovenia and he sees no reason why Slovenia should be ""in the dock"". For him, the main problem is the ""explicit asymmetry in the media space"", as a result of which the right to receive objective information is not secured. Irena Joveva (Renew/LMŠ) said the competent authorities appear to have determined that the matter had gotten out of hand and that a debate on the European level was required, not least in light of Slovenia's upcoming presidency of the EU.

New maritime traffic control centre opens in Koper

KOPER - A new centre for maritime traffic control and management in crisis situations was inaugurated in what is a project that is expected to greatly improve navigation safety in the Slovenian territorial waters and decrease risk of accidents by as much as 70%. Infrastructure Minister Jernej Vrtovec said at the ceremony that the EUR 2.3 million centre, stationed in the Maritime Administration building in Koper, was not only important for the Slovenian maritime sector, but for the country as a whole.

Kugler honoured at American Filmatic Arts Awards festival

NEW YORK, US - Film director Ema Kugler was honoured at the American Filmatic Arts Awards (AFAA) festival of independent film in New York. Her Man with Shadow was declared the best feature film of 2020 in what is the 15th award for the film. Man with Shadow is marked by the idea that the biggest human delusion is the illusion of freedom.

If you're learning Slovenian then you can find all our dual texts here","Check the date at the top of the page, and you can find all the ""morning headlines"" stories here.
Chairman of the Bosnian presidency Milorad Dodik said the friendly Slovenia had again showed its solidarity with and support to Bosnia-Herzegovina.
The seven-day average of new cases in Slovenia was down from 784 to 780.
EUR 679.7 million was collected in gross insurance premiums, an increase of 13.6% over the year before.
Milan Zver (EPP/SDS) said freedom of the media was not questionable in Slovenia and he sees no reason why Slovenia should be ""in the dock""."
